PLZ4;Distanz v. Olten
3066;69.215
3066;66.094
3066;66.213
3067;69.215
3067;66.094
3068;66.094
3068;68.661
3068;74.76
3072;68.453
3072;66.213
3073;68.453
3073;71.229
3073;66.213
3074;71.229
3075;74.76
3075;74.76
3076;71.229
3076;69.215
3076;66.094
3076;74.76
3077;74.76
3078;74.76
3082;82.288
3082;74.76
3083;79.007
3084;68.453
3084;73.976
3086;82.634
3086;79.309
3086;83.925
3086;80.493
3086;80.493
3087;83.925
3087;93.675
3087;80.493
3088;93.675
3088;93.675
3089;93.675
3095;73.976
3096;82.634
3096;80.493
3097;68.453
3097;73.976
3098;73.976
3098;73.976
3099;99.262
3099;90.253
3099;93.675
3110;79.007
3111;79.007
3112;75.734
3112;71.991
3113;75.734
3113;74.76
3114;87.252
3114;87.242
3115;79.309
3115;90.339
3115;89.6
3116;89.6
3116;89.6
3116;89.6
3122;73.976
3122;79.309
3122;74.534
3123;79.309
3123;74.534
3124;79.309
3125;79.309
3125;89.6
3125;82.564
3126;84.545
3126;82.564
3126;89.6
3127;87.806
3127;95.908
3128;86.314
3128;87.806
3128;86.156
3132;90.253
3132;93.675
3132;86.156
3144;73.976
3145;73.976
3145;82.634
3147;73.976
3147;82.634
3148;91.784
3150;103.474
3150;91.784
3152;99.262
3152;91.784
3153;99.262
3154;99.262
3154;91.784
3154;93.675
3155;90.253
3155;93.675
3156;103.474
3156;99.262
3157;103.474
3157;99.262
3157;91.784
3158;103.474
3159;103.474
3172;73.976
3173;73.976
3174;73.976
3174;81.92
3175;82.587
3176;81.92
3176;82.587
3177;85.602
3177;86.583
3177;81.92
3178;88.575
3179;88.741
3179;97.435
3182;92.452
3182;88.531
3182;85.147
3183;91.784
3184;88.575
3184;82.587
3185;88.575
3185;92.452
3185;88.531
3185;82.587
3186;92.757
3202;75.85
3202;82.123
3203;82.123
3204;82.123
3204;81.92
3205;85.602
3205;82.123
3205;97.435
3206;85.602
3206;85.602
3206;97.435
3206;85.602
3206;85.602
3207;85.602
3207;91.687
3207;89.095
3207;82.545
3207;89.095
3208;90.14
3210;90.14
3210;89.095
3210;89.408
3212;97.435
3212;101.296
3212;97.435
3213;97.435
3213;96.285
3214;95.958
3215;93.448
3215;94.538
3215;94.538
3216;89.408
3216;89.408
3225;92.638
3226;82.545
3226;93.741
3232;82.223
3232;96.104
3233;82.223
3233;84.259
